STATE,COUNTY,STATENAME,COUNTYNAME,POP_COU,AREA_COU,POP_URBAN,POPPCT_URBAN,AREA_URBAN,AREAPCT_URBAN,POPDEN_URBAN,POP_UA,POPPCT_UA,AREA_UA,AREAPCT_UA,POPDEN_UA,POP_UC,POPPCT_UC,AREA_UC,AREAPCT_UC,POPDEN_UC,POP_RURAL,POPPCT_RURAL,AREA_RURAL,AREAPCT_RURAL,POPDEN_RURAL
54,011,West Virginia,Cabell,96319,727832268,75554,78.44,100572435,13.82,1945.7,75554,78.44,100572435,13.82,1945.7,0,0,0,0,,20765,21.56,627259833,86.18,85.7
54,013,West Virginia,Calhoun,7627,723252287,0,0,0,0,,0,0,0,0,,0,0,0,0,,7627,100,723252287,100,27.3
54,015,West Virginia,Clay,9386,885522451,0,0,0,0,,0,0,0,0,,0,0,0,0,,9386,100,885522451,100,27.5
54,017,West Virginia,Doddridge,8202,828070906,0,0,0,0,,0,0,0,0,,0,0,0,0,,8202,100,828070906,100,25.7
54,019,West Virginia,Fayette,46039,1713406009,19395,42.13,35751845,2.09,1405,16137,35.05,31438106,1.83,1329.4,3258,7.08,4313739,0.25,1956.1,26644,57.87,1677654164,97.91,41.1
54,021,West Virginia,Gilmer,8693,876717515,3415,39.28,4331480,0.49,2042,0,0,0,0,,3415,39.28,4331480,0.49,2042,5278,60.72,872386035,99.51,15.7
54,023,West Virginia,Grant,11937,1236391168,2545,21.32,3620994,0.29,1820.4,0,0,0,0,,2545,21.32,3620994,0.29,1820.4,9392,78.68,1232770174,99.71,19.7
54,025,West Virginia,Greenbrier,35480,2640671499,10738,30.26,23062943,0.87,1205.9,0,0,0,0,,10738,30.26,23062943,0.87,1205.9,24742,69.74,2617608556,99.13,24.5
54,027,West Virginia,Hampshire,23964,1658236572,0,0,0,0,,0,0,0,0,,0,0,0,0,,23964,100,1658236572,100,37.4
54,029,West Virginia,Hancock,30676,213957204,21378,69.69,41264593,19.29,1341.8,16740,54.57,34700957,16.22,1249.4,4638,15.12,6563636,3.07,1830.1,9298,30.31,172692611,80.71,139.4
54,031,West Virginia,Hardy,14025,1508182025,2732,19.48,4656469,0.31,1519.6,0,0,0,0,,2732,19.48,4656469,0.31,1519.6,11293,80.52,1503525556,99.69,19.5
54,033,West Virginia,Harrison,69099,1077454759,43498,62.95,98792693,9.17,1140.4,0,0,0,0,,43498,62.95,98792693,9.17,1140.4,25601,37.05,978662066,90.83,67.8
